应用大类,应用场景,供应商名称,系统名称,系统简介,提供医院
医疗服务管理-医疗服务,医学影像智能辅助诊断,浙江医准智能科技有限公司,肺结节CT影像智能分析系统/肋骨骨折CT智能影像分析系统,肺结节病灶自动检出、定位、测量、智能分析、三维重建、智能随访、结构化报告；肋骨分割标签、图像重建、骨折自动识别检出,北京市第二医院
医疗服务管理-医疗服务,医学影像智能辅助诊断,浙江医准智能科技有限公司,肺炎CT影像智能分析系统/骨密度CT智能分析系统/冠脉CTA智能分析系统/头颈CTA智能分析系统等,基于深度学习智能标记病灶位置，预测良恶性，生成结构化报告，涵盖肺炎、骨密度、冠脉CTA、头颈CTA、钙化积分、DR儿童生长发育、DR多病种、膝关节核磁、乳腺超声、甲状腺超声、腹部超声等多系统分析,北京市第二医院
医疗服务管理-医疗服务,医学影像智能辅助诊断,深睿医疗,睿影AI医学辅助诊断/评估系统,肺部小结节影像辅助诊断、小儿骨龄测算，结节检出率提高约75%，误诊率降低80%,北京市回民医院
医疗服务管理-医疗服务,医学影像智能辅助诊断,深睿医疗,AI肺结节筛查系统,基于深度学习模型，自动分割肺部区域，识别微小结节，对钙化、磨玻璃等不同类型结节进行分类,北京市西城区展览路医院
医疗服务管理-医疗服务,医学影像智能辅助诊断,联影智能/数坤科技,医学影像AI辅助诊断系统,针对医学影像数据进行智能分析、快速读片、报告生成，实现骨折、肺癌、肝癌、颅内等疾病精准早筛，节省人工成本80%,北京市西城区妇幼保健计划生育服务中心
医疗服务管理-医疗服务,医学影像智能辅助诊断,,DCM医学AI标注及辅助诊断,自动化预处理及标注医学影像，融合病历文本信息，在影像中自动识别并定位疑似病灶，并辅助判断其性质,北京市西城区平安医院
医疗服务管理-医疗服务,医学影像数据智能辅助质控,万东医疗,智能辅助质控系统,开展医学影像检查质量评价、分析，提高影像摄片质量和质控效率，协助影像技师提高图像采集质量，诊断报告审核阶段深度解读报告，有效筛查遗漏、矛盾或误判问题,北京市第二医院
医疗服务管理-医疗服务,听译机器人/医技报告生成,左医科技,听译机器人/医技报告生成系统,语音对话病历生成、医技文书报告生成，听译门诊部分与HIS对接、医技与PACS开启录音入口及报告回传相关接口,北京中医药大学附属护国寺中医医院
医疗服务管理-医疗服务,临床专病智能辅助决策,科大讯飞,基层人工智能辅助诊疗系统,系统通过可视化人体图与九大系统引导中西医问诊，智能识别危急重症风险，实时预警，智能推荐中西医诊断及鉴别诊断，药物禁忌、超量、无适应症用药提醒，构建医生画像，区域内病历质检、诊断质检、合理用药质检,北京市西城区广外医院
医疗服务管理-医疗服务,临床专病智能辅助决策,银杉丰盛医疗科技有限公司,AI交互式肌肉骨骼康复管理系统,基于患者影像学、生物力学等数据辅助生成肌骨系统主动康复训练方案及运动处方，AI视觉识别技术下的体姿态、关节活动度、人体生物力学数据采集分析,北京市丰盛中医骨伤专科医院
医疗服务管理-医疗服务,医学影像智能辅助治疗,华声医疗,小北斗-AI+超声精准麻醉系统,AI辅助超声引导神经阻滞，提高首次穿刺成功率，降低并发症风险，实时识别危险结构，减少误穿导致的血肿、气胸、神经损伤,北京市第二医院
医疗服务管理-医疗服务,手术智能辅助规划,中科华宇,手术智能辅助规划系统,基础三维分析、血管疾病可视化检测分析、肝脏精准重建分析、AI结肠分析、AI肺结节智能分析、肺气肿分析、心脏分析等功能,北京市第二医院
医疗服务管理-医疗服务,麻醉与围术期智能医学,,围术期麻醉管理大模型：南方智麻,自动采集数据，微秒级同步，精准预警与辅助决策，术前个体化风险评估，术中实时预测不良事件，自动调控麻醉药物输注,北京市第二医院
医疗服务管理-医疗服务,智能门诊分诊,融威众邦/科大讯飞,智能导诊分诊/患者AI就医助手,支持语音与文字多模态交互，依据症状、发病时长、性别等信息快速给出就诊推荐，分诊准确率≥95%,北京市第二医院
医疗服务管理-医疗服务,智能门诊分诊,阿里健康,AI智能伴诊数字人,根据患者描述、上传资料，推荐就诊科室,北京市西城区妇幼保健计划生育服务中心
医疗服务管理-医疗服务,智能门诊分诊,北银金科,导医小助手,通过人机交互快速识别患者症状、病史信息，智能推荐对应科室、预判病情风险，准确率达到90%,北京市肛肠医院
医疗服务管理-医疗服务,智能就医咨询,融威众邦/科大讯飞,智能就医咨询/患者AI就医助手,基于大语言模型做用户意图理解，基于知识库做FAQ和文档知识检索，提供医院介绍、科室专家、就医流程、医保政策、检查须知等解答，问题识别准确率≥90%,北京市第二医院
医疗服务管理-医疗服务,智能服务机器人,北京盛康恒信科技有限公司,智能服务机器人,就诊流程指引，科室介绍医生介绍，信息公开，健康宣教，语音交互,北京市宣武中医医院
医疗服务管理-医疗服务,智能客服,北银金科,智能助手,24小时人工智能客服，支持多轮症状问答、科室推荐、就诊指引及健康科普,北京市肛肠医院
医疗服务管理-医疗服务,智能预问诊,融威众邦/科大讯飞,智能预问诊/患者AI就医助手,利用智能语音、OCR识别、自然语言理解等技术，引导患者通过多模态交互方式充分描述病情，智能生成结构化病历，信息采集完整率≥85%,北京市第二医院
医疗服务管理-医疗服务,智能预问诊,慧诊宝/京东,智能预问诊系统,在医生问诊前，利用人工智能技术采集初步病史、症状、既往史等信息，辅助医生快速了解病情，缩短医生问诊时间约20%~30%,北京市西城区展览路医院
医疗服务管理-医疗服务,智能预问诊,北银金科,智能预问诊系统,在线采集患者病情，形成预问诊病历供接诊时引入到病历,北京市肛肠医院
医疗服务管理-医疗服务,智能陪诊,融威众邦/科大讯飞,智能陪诊/患者AI就医助手,提供院内导航、流程提醒、检查预约、报告查询、取药指引等全流程伴随式服务，导航定位精度<3米,北京市第二医院
医疗服务管理-医疗服务,智能随访,融威众邦/科大讯飞,智能随访/全程患者管理平台V2.0,基于AI语音识别、语音合成、自然语言理解技术，模拟医生护士与患者互动，支持出院随访、门诊随访、满意度调查，对话关键信息结构化,北京市第二医院
